Date,Open,High,Low,Close,Adj Close,Volume
5/7/1997,5.8,5.845,5.76,5.8,4.705678,890000
5/8/1997,5.805,6.205,5.8,6.205,5.034266,9226000
5/9/1997,6.395,6.575,6.125,6.225,5.050492,10588000
5/12/1997,6.2,6.245,5.85,5.915,4.798982,5296000
5/13/1997,5.9,6.09,5.87,6.02,4.884171,4198000
5/14/1997,6.15,6.19,5.75,6.04,4.900397,3162000
5/15/1997,6.025,6.04,5.92,6,4.867944,1704000
5/16/1997,5.96,6.03,5.935,5.985,4.855775,1196000
5/19/1997,6,6.025,5.925,5.94,4.819265,957000
5/20/1997,5.955,6.245,5.825,6.02,4.884171,5456000
5/21/1997,6.19,6.19,5.875,5.9,4.786811,4213000
5/22/1997,5.875,5.92,5.75,5.77,4.68134,2519000
5/23/1997,5.795,5.795,5.71,5.75,4.665114,1623000
5/26/1997,5.715,5.79,5.7,5.71,4.63266,1162000
5/27/1997,5.69,5.73,5.5,5.53,4.486622,2458000
5/28/1997,5.6,5.6,5.39,5.47,4.437943,1732000
5/29/1997,5.435,5.6,5.405,5.59,4.535302,2128000
5/30/1997,5.595,5.695,5.54,5.66,4.592094,1537000
6/2/1997,5.7,6.02,5.7,5.93,4.811152,3272000
6/3/1997,5.93,6.24,5.86,6.115,4.961246,4629000
6/4/1997,6.5,6.52,6.25,6.39,5.184359,19944000
6/5/1997,6.4,6.405,6.315,6.335,5.139738,5280000
6/6/1997,6.3,6.36,6.27,6.335,5.139738,4451000
6/9/1997,6.38,6.38,6.285,6.3,5.176714,2834000
6/10/1997,6.315,6.36,6.29,6.345,5.21369,2240000
6/11/1997,6.35,6.42,6.33,6.385,5.246559,4600000
6/12/1997,6.385,6.43,6.365,6.415,5.271209,4106000
6/13/1997,6.43,6.585,6.38,6.485,5.328729,12038000
6/16/1997,6.45,6.515,6.36,6.405,5.262995,3420000
6/17/1997,6.41,6.54,6.41,6.52,5.357489,3970000
6/18/1997,6.565,6.575,6.42,6.455,5.304078,3887000
6/19/1997,6.4,6.445,6.365,6.425,5.279426,1863000
6/20/1997,6.435,6.44,6.35,6.36,5.226017,2051000
6/23/1997,6.365,6.375,6.26,6.28,5.16028,2801000
6/24/1997,6.26,6.3,6.225,6.295,5.172607,2047000
6/25/1997,6.3,6.3,6.16,6.19,5.086327,3384000
6/26/1997,6.19,6.24,6.17,6.215,5.10687,1861000
6/27/1997,6.35,6.35,6.17,6.18,5.07811,2000000
6/30/1997,6.15,6.27,6.13,6.25,5.13563,2224000
7/1/1997,6.3,6.45,6.225,6.43,5.283536,4935000
7/2/1997,6.4,6.635,6.4,6.52,5.357489,10330000
7/3/1997,6.5,6.55,6.355,6.42,5.27532,3480000
7/4/1997,6.475,6.58,6.375,6.515,5.35338,5028000
7/7/1997,6.525,6.625,6.425,6.465,5.312295,6201000
7/8/1997,6.5,6.575,6.45,6.54,5.373922,9052000
7/9/1997,6.575,7,6.56,7,5.751904,5919000
7/10/1997,7.35,7.4,7.125,7.19,5.908028,8058000
7/11/1997,7.15,7.235,6.92,7.075,5.813531,4157000
7/14/1997,7.05,7.05,6.865,6.89,5.661517,3626000
7/15/1997,6.92,6.97,6.85,6.925,5.690277,3200000
7/16/1997,7,7.09,6.955,7.03,5.776556,2480000
7/17/1997,7.085,7.15,7.025,7.125,5.854618,2634000
7/18/1997,7.125,7.125,7.125,7.125,5.854618,0
7/21/1997,7.03,7.07,6.95,7.035,5.780663,2014000
7/22/1997,7.05,7.4,7.025,7.32,6.014849,3692000
7/23/1997,7.5,7.59,7.35,7.46,6.129887,3767000
7/24/1997,7.46,7.485,7.37,7.41,6.088803,1911000
7/25/1997,7.4,7.425,7.3,7.4,6.080585,1806000
7/28/1997,7.4,7.43,7.325,7.405,6.084694,1572000
7/29/1997,7.35,7.425,7.23,7.325,6.018958,1705000
7/30/1997,7.385,7.425,7.33,7.38,6.064151,3362000
7/31/1997,7.4,7.43,7.38,7.405,6.084694,1262000
